JOURNAL OF FLUENCY DISORDERS,0094-730X,1873-801X,"EDUCATION, SPECIAL - SSCI",Q3,11
Journal of Intellectual Disabilities,1744-6295,1744-6309,"EDUCATION, SPECIAL - SSCI",Q4,1
Journal of Special Education Technology,0162-6434,2381-3121,"EDUCATION, SPECIAL - SSCI",Q4,2
AMERICAN ANNALS OF THE DEAF,0002-726X,1543-0375,"EDUCATION, SPECIAL - SSCI",Q4,3
Education and Treatment of Children,0748-8491,1934-8924,"EDUCATION, SPECIAL - SSCI",Q4,4
International Journal of Developmental Disabilities,2047-3869,2047-3877,"EDUCATION, SPECIAL - SSCI",Q4,5
JOURNAL OF DEVELOPMENTAL AND PHYSICAL DISABILITIES,1056-263X,1573-3580,"EDUCATION, SPECIAL - SSCI",Q4,6
INTERVENTION IN SCHOOL AND CLINIC,1053-4512,1538-4810,"EDUCATION, SPECIAL - SSCI",Q4,7
Child Language Teaching & Therapy,0265-6590,1477-0865,"EDUCATION, SPECIAL - SSCI",Q4,8
International Journal of Disability Development and Education,1034-912X,1465-346X,"EDUCATION, SPECIAL - SSCI",Q4,9
Infants & Young Children,0896-3746,1550-5081,"EDUCATION, SPECIAL - SSCI",Q4,10
British Journal of Learning Disabilities,1354-4187,1468-3156,"EDUCATION, SPECIAL - SSCI",Q4,11
ACTA NUMERICA,0962-4929,1474-0508,MATHEMATICS - SCIE,Q1,1
Publications Mathematiques de l IHES,0073-8301,1618-1913,MATHEMATICS - SCIE,Q1,2
ANNALS OF MATHEMATICS,0003-486X,1939-8980,MATHEMATICS - SCIE,Q1,3
ACTA MATHEMATICA,0001-5962,1871-2509,MATHEMATICS - SCIE,Q1,4
JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,0894-0347,1088-6834,MATHEMATICS - SCIE,Q1,5
INVENTIONES MATHEMATICAE,0020-9910,1432-1297,MATHEMATICS - SCIE,Q1,6
Forum of Mathematics Pi,2050-5086,2050-5086,MATHEMATICS - SCIE,Q1,7
Cambridge Journal of Mathematics,2168-0930,2168-0949,MATHEMATICS - SCIE,Q1,8
MEMOIRS OF THE AMERICAN MATHEMATICAL SOCIETY,0065-9266,1947-6221,MATHEMATICS - SCIE,Q1,9
DUKE MATHEMATICAL JOURNAL,0012-7094,1547-7398,MATHEMATICS - SCIE,Q1,10
COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,0010-3640,1097-0312,MATHEMATICS - SCIE,Q1,11
GEOMETRIC AND FUNCTIONAL ANALYSIS,1016-443X,1420-8970,MATHEMATICS - SCIE,Q1,12
JOURNAL OF DIFFERENTIAL GEOMETRY,0022-040X,1945-743X,MATHEMATICS - SCIE,Q1,13
ANNALES SCIENTIFIQUES DE L ECOLE NORMALE SUPERIEURE,0012-9593,1873-2151,MATHEMATICS - SCIE,Q1,14
JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY,1435-9855,N/A,MATHEMATICS - SCIE,Q1,15
FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,1615-3375,1615-3383,MATHEMATICS - SCIE,Q1,16
AMERICAN JOURNAL OF MATHEMATICS,0002-9327,1080-6377,MATHEMATICS - SCIE,Q1,17
GEOMETRY & TOPOLOGY,1465-3060,1364-0380,MATHEMATICS - SCIE,Q1,18
COMPOSITIO MATHEMATICA,0010-437X,1570-5846,MATHEMATICS - SCIE,Q1,19
JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,0075-4102,1435-5345,MATHEMATICS - SCIE,Q1,20
Analysis & PDE,1948-206X,N/A,MATHEMATICS - SCIE,Q1,21
BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY,0273-0979,1088-9485,MATHEMATICS - SCIE,Q1,22
Algebraic Geometry,2313-1691,2214-2584,MATHEMATICS - SCIE,Q1,23
JOURNAL OF ALGEBRAIC GEOMETRY,1056-3911,1534-7486,MATHEMATICS - SCIE,Q1,24
Journal of Topology,1753-8416,1753-8424,MATHEMATICS - SCIE,Q1,25
ADVANCES IN MATHEMATICS,0001-8708,1090-2082,MATHEMATICS - SCIE,Q1,26
Forum of Mathematics Sigma,N/A,2050-5094,MATHEMATICS - SCIE,Q1,27
JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,0021-7824,1776-3371,MATHEMATICS - SCIE,Q1,28
Journal of the Institute of Mathematics of Jussieu,1474-7480,1475-3030,MATHEMATICS - SCIE,Q1,29
PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY,0024-6115,1460-244X,MATHEMATICS - SCIE,Q1,30
Advances in Nonlinear Analysis,2191-9496,2191-950X,MATHEMATICS - SCIE,Q1,31
JOURNAL OF FUNCTIONAL ANALYSIS,0022-1236,1096-0783,MATHEMATICS - SCIE,Q1,32
ASTERISQUE,0303-1179,2492-5926,MATHEMATICS - SCIE,Q1,33
CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,0944-2669,1432-0835,MATHEMATICS - SCIE,Q1,34
Bulletin of Mathematical Sciences,1664-3607,1664-3615,MATHEMATICS - SCIE,Q1,35
